"text";"section";"header";"div";"p";"s";"id";"p_comp";"p_value";"expanded";"context"
"p = .055";"results";"Behavior verification";12;2;2;"0956797614522816";"=";0,055;"There was also a main effect of stimuli type, F(1.909, 49.641) = 8.239, p = .001, η p 2 = .241 (Ms = 3.96, 3.21, 3.85, and 2.89 for classrooms, pools, restaurants, and roads, respectively), and a trend for an interaction, F(3, 78) = 2.637, p = .055, η p 2 = .092, which was due to significantly more fixations during subordinate than during basic decisions for pools (basic: M = 2.52; subordinate: M = 3.91), t(26) = 1.901, p = .068, and for restaurants (basic: M = 3.01; subordinate: M = 4.69), t(26) = 3.363, p = .002.";"Fixation counts showed a similar pattern of results, with basic categorization requiring fewer fixations (M = 2.95) than subordinate categorization (M = 4.01), F(1, 26) = 5.391, p = .028, η p 2 = .172. Fixation counts showed a similar pattern of results, with basic categorization requiring fewer fixations (M = 2.95) than subordinate categorization (M = 4.01), F(1, 26) = 5.391, p = .028, η p 2 = .172. There was also a main effect of stimuli type, F(1.909, 49.641) = 8.239, p = .001, η p 2 = .241 (Ms = 3.96, 3.21, 3.85, and 2.89 for classrooms, pools, restaurants, and roads, respectively), and a trend for an interaction, F(3, 78) = 2.637, p = .055, η p 2 = .092, which was due to significantly more fixations during subordinate than during basic decisions for pools (basic: M = 2.52; subordinate: M = 3.91), t(26) = 1.901, p = .068, and for restaurants (basic: M = 3.01; subordinate: M = 4.69), t(26) = 3.363, p = .002. There was also a main effect of stimuli type, F(1.909, 49.641) = 8.239, p = .001, η p 2 = .241 (Ms = 3.96, 3.21, 3.85, and 2.89 for classrooms, pools, restaurants, and roads, respectively), and a trend for an interaction, F(3, 78) = 2.637, p = .055, η p 2 = .092, which was due to significantly more fixations during subordinate than during basic decisions for pools (basic: M = 2.52; subordinate: M = 3.91), t(26) = 1.901, p = .068, and for restaurants (basic: M = 3.01; subordinate: M = 4.69), t(26) = 3.363, p = .002. In contrast, there was a similar numerical pattern but no significant difference for classrooms (basic: M = 3.57; subordinate: M = 4.34) and roads (basic: M = 2.69; subordinate: M = 3.09), ts < 1.415, ps > .169. In contrast, there was a similar numerical pattern but no significant difference for classrooms (basic: M = 3.57; subordinate: M = 4.34) and roads (basic: M = 2.69; subordinate: M = 3.09), ts < 1.415, ps > .169."
"p = .203";"results";"Behavior verification";12;3;2;"0956797614522816";"=";0,203;"For initial saccade latency, there was no main effect of judgment, F(1, 26) = 1.708, p = .203, η p 2 = .062, or stimuli type, nor was there an interaction between the two for initial saccade latency (Fs < 1).";"Additional analyses examined eye movement behaviors, including initial saccade latency, fixation duration, and saccade amplitude. For initial saccade latency, there was no main effect of judgment, F(1, 26) = 1.708, p = .203, η p 2 = .062, or stimuli type, nor was there an interaction between the two for initial saccade latency (Fs < 1). Fixation durations showed no main effect of judgment (F < 1), though there was an effect of stimuli type, F(2.288, 59.487) = 4.539, p = .011, η p 2 = .149, (Ms = 257, 312, 265, and 277 ms for classrooms, pools, restaurants, and roads, respectively)."
"p = .288";"results";"Behavior verification";12;3;4;"0956797614522816";"=";0,288;"There was no interaction, F(3, 78) = 1.276, p = .288, η p 2 = .047.";"Fixation durations showed no main effect of judgment (F < 1), though there was an effect of stimuli type, F(2.288, 59.487) = 4.539, p = .011, η p 2 = .149, (Ms = 257, 312, 265, and 277 ms for classrooms, pools, restaurants, and roads, respectively). There was no interaction, F(3, 78) = 1.276, p = .288, η p 2 = .047. No main effect of saccade amplitude on judgment appeared, F(1, 26) = 1.122, p = .299, η p 2 = .041, but there was an effect of stimuli type, F(3, 78) = 20.836, p < .001, η p 2 = .445 (Ms = 4.06°, 3.33°, 4.31°, and 3.44° for classrooms, pools, restaurants, and roads, respectively), and an interaction, F(3, 78) = 4.869, p = .004, η p 2 = .158, with restaurants having a trend for longer saccades during subordinate categorizations (M = 4.62°) than during basic categorizations (M = 3.99°), t(26) = 1.735, p = .094."
"p = .299";"results";"Behavior verification";12;3;5;"0956797614522816";"=";0,299;"No main effect of saccade amplitude on judgment appeared, F(1, 26) = 1.122, p = .299, η p 2 = .041, but there was an effect of stimuli type, F(3, 78) = 20.836, p < .001, η p 2 = .445 (Ms = 4.06°, 3.33°, 4.31°, and 3.44° for classrooms, pools, restaurants, and roads, respectively), and an interaction, F(3, 78) = 4.869, p = .004, η p 2 = .158, with restaurants having a trend for longer saccades during subordinate categorizations (M = 4.62°) than during basic categorizations (M = 3.99°), t(26) = 1.735, p = .094.";"There was no interaction, F(3, 78) = 1.276, p = .288, η p 2 = .047. There was no interaction, F(3, 78) = 1.276, p = .288, η p 2 = .047. No main effect of saccade amplitude on judgment appeared, F(1, 26) = 1.122, p = .299, η p 2 = .041, but there was an effect of stimuli type, F(3, 78) = 20.836, p < .001, η p 2 = .445 (Ms = 4.06°, 3.33°, 4.31°, and 3.44° for classrooms, pools, restaurants, and roads, respectively), and an interaction, F(3, 78) = 4.869, p = .004, η p 2 = .158, with restaurants having a trend for longer saccades during subordinate categorizations (M = 4.62°) than during basic categorizations (M = 3.99°), t(26) = 1.735, p = .094. No main effect of saccade amplitude on judgment appeared, F(1, 26) = 1.122, p = .299, η p 2 = .041, but there was an effect of stimuli type, F(3, 78) = 20.836, p < .001, η p 2 = .445 (Ms = 4.06°, 3.33°, 4.31°, and 3.44° for classrooms, pools, restaurants, and roads, respectively), and an interaction, F(3, 78) = 4.869, p = .004, η p 2 = .158, with restaurants having a trend for longer saccades during subordinate categorizations (M = 4.62°) than during basic categorizations (M = 3.99°), t(26) = 1.735, p = .094. In contrast, there were similar, but not significant, numerical patterns for classrooms (basic: M = 3.81°; subordinate: M = 4.31°) and pools (basic: M = 3.04°; subordinate: M = 3.63°), ts < 1.560, ps > .131, whereas for roads, there were longer saccades in the basic condition (M = 3.61°) than in the subordinate condition (M = 3.27°), t < 1. In contrast, there were similar, but not significant, numerical patterns for classrooms (basic: M = 3.81°; subordinate: M = 4.31°) and pools (basic: M = 3.04°; subordinate: M = 3.63°), ts < 1.560, ps > .131, whereas for roads, there were longer saccades in the basic condition (M = 3.61°) than in the subordinate condition (M = 3.27°), t < 1."
"p = .91";"results";"Results and discussion";4;2;1;"0956797614557697";"=";0,91;"For the PMd group, neither TMS-response congruence nor time of stimulation influenced visual discrimination performance (Fig. 2a; congruence: β = -0.02, SE = 0.17, p = .91; time: β = 0.0002, SE = 0.09, p = .99).";"For the PMd group, neither TMS-response congruence nor time of stimulation influenced visual discrimination performance (Fig. 2a; congruence: β = -0.02, SE = 0.17, p = .91; time: β = 0.0002, SE = 0.09, p = .99). For the PMd group, neither TMS-response congruence nor time of stimulation influenced visual discrimination performance (Fig. 2a; congruence: β = -0.02, SE = 0.17, p = .91; time: β = 0.0002, SE = 0.09, p = .99). In addition, despite the TMS pulse being lateralized, it did not induce overt response bias (95% CI for percentage of contralateral responses: preresponse condition = [43%, 55%]; postresponse condition = [44%, 56%]). In addition, despite the TMS pulse being lateralized, it did not induce overt response bias (95% CI for percentage of contralateral responses: preresponse condition = [43%, 55%]; postresponse condition = [44%, 56%])."
"p > .29";"results";"Results and discussion";4;4;4;"0956797614557697";">";0,29;"No main effects or interactions with time were found (p > .29), which indicates that the action-specific effects of TMS on confidence are not specific to its delivery before or after a perceptual decision.";"In addition, there was a significant interaction of congruence and accuracy: Confidence was lower on incongruent trials with correct responses but higher on incongruent trials with errors (p < .05; Fig. 3a; see also Table S1 in the Supplemental Material). No main effects or interactions with time were found (p > .29), which indicates that the action-specific effects of TMS on confidence are not specific to its delivery before or after a perceptual decision."
"p = .78";"results";"Results and discussion";4;5;1;"0956797614557697";"=";0,78;"Congruence did not affect measures of RT to either the stimulus (β = -0.008, SE = 0.03, p = .78) or the confidence rating (β = 0.03, SE = 0.03, p = .33), which makes it unlikely that effects on metacognition were mediated by effects of TMS on details of the action itself (see Fig.";"Congruence did not affect measures of RT to either the stimulus (β = -0.008, SE = 0.03, p = .78) or the confidence rating (β = 0.03, SE = 0.03, p = .33), which makes it unlikely that effects on metacognition were mediated by effects of TMS on details of the action itself (see Fig. Congruence did not affect measures of RT to either the stimulus (β = -0.008, SE = 0.03, p = .78) or the confidence rating (β = 0.03, SE = 0.03, p = .33), which makes it unlikely that effects on metacognition were mediated by effects of TMS on details of the action itself (see Fig. S1 and Tables S4 and S5 in the Supplemental Material); there were main effects of stimulation time on RT resulting from a general speeding effect of preresponse TMSdecision RT: β = 0.07, SE = 0.02, p < .01; rating RT: β = 0.08, SE = 0.02, p < .001. S1 and Tables S4 and S5 in the Supplemental Material); there were main effects of stimulation time on RT resulting from a general speeding effect of preresponse TMSdecision RT: β = 0.07, SE = 0.02, p < .01; rating RT: β = 0.08, SE = 0.02, p < .001."
"p = .34";"results";"Results";7;1;1;"0956797614557697";"=";0,34;"As in Experiment 1, neither congruence nor time of stimulation influenced visual discrimination performance (Fig. 2b; congruence: β = -0.13, SE = 0.13, p = .34; time: β = 0.12, SE = 0.09, p = .18), and there was no evidence that TMS pulses induced a contralateral bias in responding (95% CI for percentage of contralateral responsespreresponse condition = [47%, 55%]; postresponse condition = [49%, 56%]).";"As in Experiment 1, neither congruence nor time of stimulation influenced visual discrimination performance (Fig. 2b; congruence: β = -0.13, SE = 0.13, p = .34; time: β = 0.12, SE = 0.09, p = .18), and there was no evidence that TMS pulses induced a contralateral bias in responding (95% CI for percentage of contralateral responsespreresponse condition = [47%, 55%]; postresponse condition = [49%, 56%]). As in Experiment 1, neither congruence nor time of stimulation influenced visual discrimination performance (Fig. 2b; congruence: β = -0.13, SE = 0.13, p = .34; time: β = 0.12, SE = 0.09, p = .18), and there was no evidence that TMS pulses induced a contralateral bias in responding (95% CI for percentage of contralateral responsespreresponse condition = [47%, 55%]; postresponse condition = [49%, 56%]). Effects of TMS on RTs to both the decision and confidence rating were similar to those observed in Experiment 1 (Fig. Effects of TMS on RTs to both the decision and confidence rating were similar to those observed in Experiment 1 (Fig."
"p = .09";"results";"Results";7;4;2;"0956797614557697";"=";0,09;"The main effect of congruence did not reach significance in Experiment 2 (p = .09; see Table 3).";"with time. The main effect of congruence did not reach significance in Experiment 2 (p = .09; see Table 3)."
"p = .35";"results";"Metacognitive Efficiency";8;4;3;"0956797614557697";"=";0,35;"Examining paired comparisons between the pre-and postresponse conditions, only preresponse TMS was found to interfere with metacognitive efficiency, preresponse: t(34) = 3.12, p = .004; postresponse: t(34) = 0.95, p = .35, and when compared with an optimal meta-d′/d′ value of 1, only incongruent TMS delivered before the response led to suboptimal metacognitive efficiency (95% CI = [0.54, 0.86]).";"This effect held when we analyzed meta-d′ uncorrected by d′, F(1, 33) = 4.60, p = .04, η p 2 = .12. Examining paired comparisons between the pre-and postresponse conditions, only preresponse TMS was found to interfere with metacognitive efficiency, preresponse: t(34) = 3.12, p = .004; postresponse: t(34) = 0.95, p = .35, and when compared with an optimal meta-d′/d′ value of 1, only incongruent TMS delivered before the response led to suboptimal metacognitive efficiency (95% CI = [0.54, 0.86]). However, the absence of a postresponse effect of TMS on meta-d′/d′ should be interpreted with caution, as the Congruence × Time interaction was not significant, F(1, 34) = 2.21, p = .15, η p 2 = .06."
"p = .15";"results";"Metacognitive Efficiency";8;4;4;"0956797614557697";"=";0,15;"However, the absence of a postresponse effect of TMS on meta-d′/d′ should be interpreted with caution, as the Congruence × Time interaction was not significant, F(1, 34) = 2.21, p = .15, η p 2 = .06.";"Examining paired comparisons between the pre-and postresponse conditions, only preresponse TMS was found to interfere with metacognitive efficiency, preresponse: t(34) = 3.12, p = .004; postresponse: t(34) = 0.95, p = .35, and when compared with an optimal meta-d′/d′ value of 1, only incongruent TMS delivered before the response led to suboptimal metacognitive efficiency (95% CI = [0.54, 0.86]). However, the absence of a postresponse effect of TMS on meta-d′/d′ should be interpreted with caution, as the Congruence × Time interaction was not significant, F(1, 34) = 2.21, p = .15, η p 2 = .06. The effect of TMS congruence on meta-d′/d′ was consistent across experiments-interaction with experiment: F(1, 33) = 0.70, p = .41, η p 2 = .02 (Fig."
"p = .41";"results";"Metacognitive Efficiency";8;4;5;"0956797614557697";"=";0,41;"The effect of TMS congruence on meta-d′/d′ was consistent across experiments-interaction with experiment: F(1, 33) = 0.70, p = .41, η p 2 = .02 (Fig.";"However, the absence of a postresponse effect of TMS on meta-d′/d′ should be interpreted with caution, as the Congruence × Time interaction was not significant, F(1, 34) = 2.21, p = .15, η p 2 = .06. The effect of TMS congruence on meta-d′/d′ was consistent across experiments-interaction with experiment: F(1, 33) = 0.70, p = .41, η p 2 = .02 (Fig. S3 in the Supplemental Material)."
"p = .73";"results";"Metacognitive Efficiency";8;4;7;"0956797614557697";"=";0,73;"In keeping with an absence of an effect of M1 TMS on confidence, results showed that M1 stimulation had no effect on metacognitive efficiency, F(1, 16) = 0.13, p = .73, η p 2 = .008 (Fig.";"S3 in the Supplemental Material). In keeping with an absence of an effect of M1 TMS on confidence, results showed that M1 stimulation had no effect on metacognitive efficiency, F(1, 16) = 0.13, p = .73, η p 2 = .008 (Fig. S2)."
"p = .279";"results";"TNT-task performance";10;2;4;"0956797615569889";"=";0,279;"Although the PTSD group showed a significant facilitation effect (M = 5.9%), F(1, 15) = 7.525, p = .015, η p 2 = .334, and the control group did not (M = 2.8%, n.s.), there was no significant group difference in facilitation, F(1, 30) = 1.215, p = .279, η p 2 = .039 (Fig. 3a).";"This interaction was driven by a significant inversion of suppression-induced forgetting in the PTSD group (i.e., better memory performance for suppress items compared with baseline items; M = -5.2%), F(1, 15) = 5.288, p = .036, η p 2 = .261 (Bayes factor favoring the alternative hypothesis = 2.09), in the absence of significant suppression in the control group (M = 3.5%, n.s.). Although the PTSD group showed a significant facilitation effect (M = 5.9%), F(1, 15) = 7.525, p = .015, η p 2 = .334, and the control group did not (M = 2.8%, n.s.), there was no significant group difference in facilitation, F(1, 30) = 1.215, p = .279, η p 2 = .039 (Fig. 3a). The absence of reliable facilitation and suppression effects in the control group may have been due to ceiling effects."
"p = .594";"results";"TNT-task performance";10;3;3;"0956797615569889";"=";0,594;"This interaction was driven by significant suppression-induced forgetting in the control group (M = 10.8%), F(1, 15) = 22.123, p < .001, η p 2 = .596, in the absence of significant suppression-induced forgetting in the PTSD group (M = 1.7%), F(1, 15) = 0.297, p = .594, η p 2 = .019.";"A significant group difference in suppressioninduced forgetting was observed, as indicated by a significant condition-by-group interaction, F(1, 30) = 4.573, p = .041, η p 2 = .132. This interaction was driven by significant suppression-induced forgetting in the control group (M = 10.8%), F(1, 15) = 22.123, p < .001, η p 2 = .596, in the absence of significant suppression-induced forgetting in the PTSD group (M = 1.7%), F(1, 15) = 0.297, p = .594, η p 2 = .019. A Bayesian analysis indicated strong evidence in favor of the null hypothesis, confirming the absence of suppression-induced forgetting in the PTSD group (Bayes factor in favor of the null hypothesis = 3.74)."
"p = .643";"results";"Details.";11;1;2;"0956797615569889";"=";0,643;"This interaction was driven once again by a significant suppression effect in the control group (M = 1.19), F(1, 15) = 33.548, p < .001, η p 2 = .691, in the absence of significant suppression in the PTSD group (M = -0.14), F(1, 15) = 0.224, p = .643, η p 2 = .015.";"As for the two previous measures, a significant group difference in suppression-induced forgetting was observed, established by a significant condition-by-group interaction, F(1, 30) = 14.231, p = .001, η p 2 = .322. This interaction was driven once again by a significant suppression effect in the control group (M = 1.19), F(1, 15) = 33.548, p < .001, η p 2 = .691, in the absence of significant suppression in the PTSD group (M = -0.14), F(1, 15) = 0.224, p = .643, η p 2 = .015. Again, a Bayesian analysis indicated strong evidence in favor of the null hypothesis, confirming the absence of suppression-induced forgetting in the PTSD group (Bayes factor in favor of the null hypothesis = 3.70)."
"p = .054";"results";"Details.";11;1;4;"0956797615569889";"=";0,054;"Although the PTSD group showed a significant facilitation effect (M = 0.68), F(1, 15) = 5.575, p = .032, η p 2 = .271, and the control group showed only a marginally significant effect (M = 0.56), F(1, 15) = 4.368, p = .054, η p 2 = .226, the difference between the groups was not significant, F(1, 30) = 0.100, p = .754, η p 2 = .003 (Fig. 3c).";"Again, a Bayesian analysis indicated strong evidence in favor of the null hypothesis, confirming the absence of suppression-induced forgetting in the PTSD group (Bayes factor in favor of the null hypothesis = 3.70). Again, a Bayesian analysis indicated strong evidence in favor of the null hypothesis, confirming the absence of suppression-induced forgetting in the PTSD group (Bayes factor in favor of the null hypothesis = 3.70). Although the PTSD group showed a significant facilitation effect (M = 0.68), F(1, 15) = 5.575, p = .032, η p 2 = .271, and the control group showed only a marginally significant effect (M = 0.56), F(1, 15) = 4.368, p = .054, η p 2 = .226, the difference between the groups was not significant, F(1, 30) = 0.100, p = .754, η p 2 = .003 (Fig. 3c). Although the PTSD group showed a significant facilitation effect (M = 0.68), F(1, 15) = 5.575, p = .032, η p 2 = .271, and the control group showed only a marginally significant effect (M = 0.56), F(1, 15) = 4.368, p = .054, η p 2 = .226, the difference between the groups was not significant, F(1, 30) = 0.100, p = .754, η p 2 = .003 (Fig. 3c)."
