"statement";"label";"corrected"
"Meta-regression indicated no significant moderating effect of preexisting perceptions of consensus, b = -0.84, t(35) = -1.44, p = .159.";0;"Meta-regression indicated a non-significant moderating effect of preexisting perceptions of consensus, b = -0.84, t(35) = -1.44, p = .159."
"Contrary to our preregistered hypothesis, results for the three-way Frame Ã— Time Constraint Ã— First Fixation interaction were nonsignificant, b = 0.20, SE = 0.19, z = 1.05, p = .294.";0;"Contrary to our preregistered hypothesis, results for the three-way Frame × Time Constraint × First Fixation interaction were nonsignificant, b = 0.20, SE = 0.19, z = 1.05, p = .294, indicating that the data do not provide sufficient evidence to support the presence of an interaction effect."
"Unlike the analyses using RT on search trials as the dependent variable, there was no main effect of real-time entropy on fixation time, F(1, 22,897.2) = 1.64, p = .20, Î² = -0.006, SE = 0.005.";1;"Unlike the analyses using RT on search trials as the dependent variable, there was no significant main effect of real-time entropy on fixation time, F(1, 22,897.2) = 1.64, p = .20, β = -0.006, SE = 0.005."
"Post hoc tests of the effect of trait aggression on bilateral amygdala activation for incongruent versus congruent trials revealed that this effect was primarily driven by increased amygdala activation during the congruent condition in individuals with relatively high aggression (r = .14, p = .02), whereas the aggression-related reduction during incongruent trials was not significant (r = -.10, p = .10; Fig. S1A).";0;"Post hoc tests of the effect of trait aggression on bilateral amygdala activation for incongruent versus congruent trials revealed that this effect was primarily driven by increased amygdala activation during the congruent condition in individuals with relatively high aggression (r = .14, p = .02), whereas the aggression-related reduction during incongruent trials was not statistically significant (r = -.10, p = .10; Fig. S1A)."
"There was no main effect of statistical-learning ability, F(1, 43.9) = 0.00, p = .995, Î² = 0.0002, SE = 0.03, indicating that people's statistical-learning abilities were unrelated to the total amount they fixated in the main task.";1;"The results showed no significant main effect of statistical-learning ability, F(1, 43.9) = 0.00, p = .995, Î² = 0.0002, SE = 0.03, suggesting that the data do not provide evidence that people's statistical-learning abilities are related to the total amount they fixated in the main task."
"Unlike the prior experiment, in which learning increased from ages 7 to 9 years, there was no correlation between a child's age in predicting overall learning-sensitivity scores in this experiment (Pearson's r = .17, p = .24; see Supplemental Fig.";1;"Unlike the prior experiment, in which learning increased from ages 7 to 9 years, the correlation between a child's age and overall learning-sensitivity scores in this experiment was not statistically significant (Pearson's r = .17, p = .24; see Supplemental Fig."
"Conversely, valence did not moderate the relationship between explicit relationship evaluation and verbal behavior, b = -0.03, SE = 0.03, 95% CI = [-0.08, 0.03], p = .301, Î² = -0.01 (see the Supplemental Material for ancillary analyses per valence).";1;"Conversely, valence did not significantly moderate the relationship between explicit relationship evaluation and verbal behavior, b = -0.03, SE = 0.03, 95% CI = [-0.08, 0.03], p = .301, Î² = -0.01 (see the Supplemental Material for ancillary analyses per valence)."
"A two-way mixed ANOVA investigating whether performance during training differed across groups (quiet, babble; between subjects) and familiarity conditions (most familiar, moderately familiar, least familiar; within subjects) revealed no effect of group, F(1, 48) = 0.36, p = .55, Ï‰ p 2 = -.01, 95% CI = [.00, 1.00], 1 and no significant interaction between group and familiarity, F(2, 96) = 0.21, p = .81, Ï‰ p 2 = -.01, 95% CI = [.00, 1.00].";1;"A two-way mixed ANOVA investigating whether performance during training differed across groups (quiet, babble; between subjects) and familiarity conditions (most familiar, moderately familiar, least familiar; within subjects) revealed no significant effect of group, F(1, 48) = 0.36, p = .55, Ï‰ p 2 = -.01, 95% CI = [.00, 1.00], and no significant interaction between group and familiarity, F(2, 96) = 0.21, p = .81, Ï‰ p 2 = -.01, 95% CI = [.00, 1.00]."
"We found no evidence for cheating in the time-pressure condition, Ï‡ 2 (5, N = 198) = 1.21, p = .944, V = .08, 1 nor in the self-paced condition, Ï‡ 2 (5, N = 230) = 9.06, p = .107, V = .20.";1;"We found no significant evidence for cheating in the time-pressure condition, Ï‡ 2 (5, N = 198) = 1.21, p = .944, V = .08, nor in the self-paced condition, Ï‡ 2 (5, N = 230) = 9.06, p = .107, V = .20."
"Non-attraction-effect choices were very rare and, like decoy choices, they likely reflect noisy responding; they were more common among people with lower cognitive ability, b = 0.689, 95% CI = [0.357, 1.021], p < .001, but did not differ between the ASC and control groups, b = -0.037, 95% CI = [-0.381, 0.307], p = .834, and were unrelated to age, b = 0.014, 95% CI = [-0.295, 0.324], p = .929, or gender, b = -0.229, 95% CI = [-0.528, 0.069], p = .132.";1;"Non-attraction-effect choices were very rare and, like decoy choices, they likely reflect noisy responding; they were more common among people with lower cognitive ability, b = 0.689, 95% CI = [0.357, 1.021], p < .001, but did not significantly differ between the ASC and control groups, b = -0.037, 95% CI = [-0.381, 0.307], p = .834, and were not significantly related to age, b = 0.014, 95% CI = [-0.295, 0.324], p = .929, or gender, b = -0.229, 95% CI = [-0.528, 0.069], p = .132."
"Risk taking did not differ between participants who received a placebo and those who received atomoxetine (b = 0.02, SE = 0.02, p = .295).";1;"Risk taking did not significantly differ between participants who received a placebo and those who received atomoxetine (b = 0.02, SE = 0.02, p = .295)."
"First fixation had no effect on choice when time was unlimited and both options were attended, b = -0.17, SE = 0.09, z = -1.76, p = .08.";1;"First fixation had no significant effect on choice when time was unlimited and both options were attended, b = -0.17, SE = 0.09, z = -1.76, p = .08."
"Distance, Ï‡ 2 (1, N = 21) = 0.01, p = .911, did not improve model fit.";1;"Distance, Ï‡ 2 (1, N = 21) = 0.01, p = .911, did not significantly improve model fit."
"The correlation for participants who were unsure what to believe was largely intermediate between believers and disbelievers: It was weaker than for people who believed the official story for three events (zs > 3.83, ps < .001), with the exception of the 9/11 terrorist attacks (z = 1.72, p = .086).";1;"The correlation for participants who were unsure what to believe was largely intermediate between believers and disbelievers: It was weaker than for people who believed the official story for three events (zs > 3.83, ps < .001), with the exception of the 9/11 terrorist attacks, where the difference was not statistically significant (z = 1.72, p = .086)."
"Conversely, and as predicted, the explicit relationship evaluation assessed at intake was not related to nonverbal behavior exhibited in the conversation, b = 0.05, SE = 0.06, 95% CI = [-0.07, 0.16], p = .411, Î² = 0.05.";1;"Conversely, and as predicted, the explicit relationship evaluation assessed at intake was not significantly related to nonverbal behavior exhibited in the conversation, b = 0.05, SE = 0.06, 95% CI = [-0.07, 0.16], p = .411, Î² = 0.05."
"Results showed that all profiles significantly varied from one another (ps < .005) with the exception of Profiles 5 and 6 (p = .31; Fig. 1b).";0;"Results showed that all profiles significantly varied from one another (ps < .005) with the exception of Profiles 5 and 6, which did not significantly differ (p = .31; Fig. 1b)."
"Post hoc simple-effects analyses revealed that serial position did not affect the number of recalled distinct attributes, B = -0.02, t(1,510) = -0.39, p = .700, d = 0.01.";1;"Post hoc simple-effects analyses revealed that there was no significant effect of serial position on the number of recalled distinct attributes, B = -0.02, t(1,510) = -0.39, p = .700, d = 0.01."
"These differences did not reach statistical significance (Mann-Whitney U test, p = .17).";0;"These differences did not reach statistical significance (Mann-Whitney U test, p = .17), suggesting that the observed differences may be due to chance, but it is also possible that a type II error occurred, and a difference may exist that the study was not powered to detect."
"Results revealed no significant relationships between age and self-reported enjoyment (Model 4b: p = .711, Model 5b: p = .363).";0;"Results revealed no significant relationships between age and self-reported enjoyment (Model 4b: p = .711, Model 5b: p = .363), indicating that the data do not provide sufficient evidence to suggest a relationship between these variables."
"For the N170, there was a large main effect of emotion, F(1, 39) = 16.12, p < .001, Î· p 2 = .292 (see Fig. 3), but no main effect of task, F(2, 78) = 0.81, p = .448, Î· p 2 = .020.";1;"For the N170, there was a large main effect of emotion, F(1, 39) = 16.12, p < .001, Î· p 2 = .292 (see Fig. 3), but the main effect of task was not significant, F(2, 78) = 0.81, p = .448, Î· p 2 = .020."
"Strikingly, and unlike adults, children showed equal levels of learning sensitivity across the experiments (ÃŸ = 0.01, SE = 0.03, df = 8045, t = 0.46, p = .97), and this was evident in both blocks of test (Block 1: ÃŸ = -0.05, SE = 0.05, df = 8084, t = -1.25, p = .92; Block 2: ÃŸ = 0.09, SE = 0.04, df = 8078, t = 1.93, p = .53).";1;"Strikingly, and unlike adults, children showed similar levels of learning sensitivity across the experiments (β = 0.01, SE = 0.03, df = 8045, t = 0.46, p = .97), and this was evident in both blocks of test (Block 1: β = -0.05, SE = 0.05, df = 8084, t = -1.25, p = .92; Block 2: β = 0.09, SE = 0.04, df = 8078, t = 1.93, p = .53), with no significant differences found."
"Parameter estimates showed that feeling small led to a decrease in coins allocated to other people for male participants, Wald Ï‡ 2 (1) = 6.20, b = -0.161, SE = 0.065, 95% confidence interval (CI) = [-0.288, -0.034], p = .013, but not for female participants, Wald Ï‡ 2 (1) < .001, b < 0.001, SE = 0.034, 95% CI = [-0.068, 0.067], p = .996.";1;"Parameter estimates showed that feeling small led to a decrease in coins allocated to other people for male participants, Wald Ï‡ 2 (1) = 6.20, b = -0.161, SE = 0.065, 95% confidence interval (CI) = [-0.288, -0.034], p = .013, but there was no significant effect for female participants, Wald Ï‡ 2 (1) < .001, b < 0.001, SE = 0.034, 95% CI = [-0.068, 0.067], p = .996."
"Specifically, when infants learned faces from high-variability videos, d was greater for Segment 2 than both Segments 1 and 3 (ps < .021), and there was no difference between Segments 1 and 3 (p = .150); but when they learned faces from low-variability videos, there was a linear decrease of d from Segment 1 to Segment 3, and there were significant differences among the three segments (ps < .013).";1;"Specifically, when infants learned faces from high-variability videos, d was greater for Segment 2 than both Segments 1 and 3 (ps < .021), and there was no significant difference between Segments 1 and 3 (p = .150); but when they learned faces from low-variability videos, there was a linear decrease of d from Segment 1 to Segment 3, and there were significant differences among the three segments (ps < .013)."
"As in Experiment 1, the off-line alternative-forcedchoice performance from the main task showed no evidence of learning at the group level-simplest stream (TP = 1): 51.8% correct, t(44) = 0.91, p = .37; simple stream (TP = 0.8): 51.5% correct, t(44) = 0.77, p = .44; complex stream (TP = 0.4): 49.9% correct, t(44) = -0.08, p = .94.";1;"As in Experiment 1, the off-line alternative-forced-choice performance from the main task showed no significant evidence of learning at the group level-simplest stream (TP = 1): 51.8% correct, t(44) = 0.91, p = .37; simple stream (TP = 0.8): 51.5% correct, t(44) = 0.77, p = .44; complex stream (TP = 0.4): 49.9% correct, t(44) = -0.08, p = .94."
"There was no significant interaction between emotion and task, F(2, 78) = 0.24, p = .784, Î· p 2 = .006, nor did any further interactions reach significance (Fs < 0.54, ps > .584).";0;"There was no significant interaction between emotion and task, F(2, 78) = 0.24, p = .784, Î· p 2 = .006, nor did any further interactions reach significance (Fs < 0.54, ps > .584), indicating that the groups did not differ significantly in this regard."
"Probability Ã— Time Constraint interaction on first fixation, b = 0.72, SE = 0.24, z = 2.93, p = .003; participants were significantly more likely to fixate high-probability gambles first when time was limited, b = 1.04, SE = 0.21, z = 4.86, p < .001, but not when it was unlimited, b = 0.32, SE = 0.20, z = 1.62, p = .11 (see Fig.";1;"Probability Ã— Time Constraint interaction on first fixation, b = 0.72, SE = 0.24, z = 2.93, p = .003; participants were significantly more likely to fixate high-probability gambles first when time was limited, b = 1.04, SE = 0.21, z = 4.86, p < .001, but there was no significant effect when it was unlimited, b = 0.32, SE = 0.20, z = 1.62, p = .11 (see Fig."
"We saw no quantitative differences in family socioeconomic disadvantage between the profiles with higher risk-that is, 4 and 5 (p = .142120), 5 and 6 (p = .999999), or 4 and 6 (p = .4919621).";1;"We saw no significant quantitative differences in family socioeconomic disadvantage between the profiles with higher risk-that is, 4 and 5 (p = .142120), 5 and 6 (p = .999999), or 4 and 6 (p = .4919621)."
"However, an examination of the zero-order associations among partner life satisfaction, perceived partner support, and actor mortality revealed that this mediation path is unlikely: Although having a happier partner was indeed associated with greater perceived partner support (r = .27, 95% CI = [.25, .29], p < .001), perceived partner support was not related to actor mortality (HR = 0.99, 95% CI = [0.94, 1.04], p = .69).";1;"However, an examination of the zero-order associations among partner life satisfaction, perceived partner support, and actor mortality revealed that this mediation path is unlikely: Although having a happier partner was indeed associated with greater perceived partner support (r = .27, 95% CI = [.25, .29], p < .001), perceived partner support was not significantly related to actor mortality (HR = 0.99, 95% CI = [0.94, 1.04], p = .69)."
"There was no interaction between age group and condition, F(1, 124) = 0.07, p = .79.";1;"The interaction between age group and condition was not significant, F(1, 124) = 0.07, p = .79."
"Importantly, the absence of an interaction between probability and epoch, F(2, 46) = 0.30, p = .742, Î· p 2 = .01, suggests that the difference in RTs to targets appearing on high-compared to low-probability locations did not change over the course of the experiment (Fig. 2b).";1;"Importantly, the non-significant interaction between probability and epoch, F(2, 46) = 0.30, p = .742, Î· p 2 = .01, suggests that we did not find evidence that the difference in RTs to targets appearing on high-compared to low-probability locations changed over the course of the experiment (Fig. 2b)."
"Most importantly, test anxiety did not predict the change in performance from the mock exams to the final exam (b anx = -0.09, p = .077), which speaks against the interference hypothesis.";1;"Most importantly, test anxiety did not significantly predict the change in performance from the mock exams to the final exam (b anx = -0.09, p = .077), which does not provide evidence for or against the interference hypothesis."
"For pronunciation accuracy, the main effect for familiarity was significant, F(1, 19) = 18.12, p < .001, Î· p 2 = .49, OP = .98, but the main effect for length was not, F(1, 19) = 0.30, p = .59, Î· p 2 = .02, OP = .08.";0;"For pronunciation accuracy, the main effect for familiarity was significant, F(1, 19) = 18.12, p < .001, Î· p 2 = .49, OP = .98, but the main effect for length was not significant, F(1, 19) = 0.30, p = .59, Î· p 2 = .02, OP = .08."
"This analysis revealed that the effect of cognitive conflict on the willingness to engage was eliminated (b = -0.01, SE = 0.08, 95% CI = [-0.17, 0.16], t = -0.07, p = .947), whereas the perceived quality of a comment was positively associated with the willingness to engage (b = 0.25, SE = 0.03, 95% CI = [0.19, 0.31], t = 8.23, p < .001).";1;"This analysis revealed that there was no significant effect of cognitive conflict on the willingness to engage (b = -0.01, SE = 0.08, 95% CI = [-0.17, 0.16], t = -0.07, p = .947), whereas the perceived quality of a comment was positively associated with the willingness to engage (b = 0.25, SE = 0.03, 95% CI = [0.19, 0.31], t = 8.23, p < .001)."
"In bothtargets blocks, participants switched on 34% of all displays and initiated saccades toward the target with the same latency on switch trials (M = 279 ms) and on repeat trials (M = 277 ms), t(19) = 0.99, p > .250, Cohen's d = 0.02, whereas in one-target blocks, saccade latencies for switch trials (M = 326 ms) were significantly higher than for repeat trials (M = 310 ms), t(19) = 2.6, p = .02, Cohen's d = 0.17, which indicates that switch costs were incurred.";1;"In both-targets blocks, participants switched on 34% of all displays and initiated saccades toward the target with similar latency on switch trials (M = 279 ms) and on repeat trials (M = 277 ms), t(19) = 0.99, p > .250, Cohen's d = 0.02, whereas in one-target blocks, saccade latencies for switch trials (M = 326 ms) were significantly higher than for repeat trials (M = 310 ms), t(19) = 2.6, p = .02, Cohen's d = 0.17, which indicates that switch costs were incurred."
"Comparing these correlation coefficients, we found that participants in the disagreeing-perspective condition produced more diverse errors than participants in both the self-perspective condition (d = 0.99) and agreeing-perspective condition (d = 1.00; both ps < .001), whereas there was no difference in the diversity of errors between the self-and agreeingperspective conditions (d = 0.02, p = .81).";1;"Comparing these correlation coefficients, we found that participants in the disagreeing-perspective condition produced more diverse errors than participants in both the self-perspective condition (d = 0.99) and agreeing-perspective condition (d = 1.00; both ps < .001), whereas we found no significant difference in the diversity of errors between the self-and agreeing-perspective conditions (d = 0.02, p = .81)."
"There was no interaction, F(3, 78) = 1.276, p = .288, Î· p 2 = .047.";1;"The interaction was not statistically significant, F(3, 78) = 1.276, p = .288, Î· p 2 = .047."
"There was no association between the CAPS score and nonverbal reasoning, as assessed by matrix reasoning (r S = .02, 95% CI = [-.03, .08], p = .399).";1;"There was no significant association between the CAPS score and nonverbal reasoning, as assessed by matrix reasoning (r S = .02, 95% CI = [-.03, .08], p = .399)."
"Leader narcissism levels were not significantly related to future leader preference, either from the leader's perspective, b = 0.07, 95% CI = [-0.07, 0.22], Î² = 0.10, p = .317, or from the followers' perspective, b = 0.01, 95% CI = [-0.10, 0.13], Î² = 0.02, p = .812.";0;"Leader narcissism levels were not significantly related to future leader preference, either from the leader's perspective, b = 0.07, 95% CI = [-0.07, 0.22], β = 0.10, p = .317, or from the followers' perspective, b = 0.01, 95% CI = [-0.10, 0.13], β = 0.02, p = .812, indicating that there was no significant association between leader narcissism and future leader preference."
"Boundary extension was reliable for the large-aperture condition (M = -0.08, SE = 0.04, 95% CI = [-0.15, -0.01]), t(34) = -2.23, p = .03, d = -0.38, but was no longer observed for the small-aperture condition (M = -0.002, SE = 0.04, 95% CI = [-0.08, 0.07]), t(34) = -0.06, p = .96, d = -0.01, Bayes Factor favoring the null over the alternative hypothesis (BF 01 ) = 5.51.";0;"Boundary extension was reliable for the large-aperture condition (M = -0.08, SE = 0.04, 95% CI = [-0.15, -0.01]), t(34) = -2.23, p = .03, d = -0.38, but was no longer observed for the small-aperture condition, for which there was no significant difference (M = -0.002, SE = 0.04, 95% CI = [-0.08, 0.07]), t(34) = -0.06, p = .96, d = -0.01, Bayes Factor favoring the null over the alternative hypothesis (BF 01 ) = 5.51."
"In addition, age of onset did not predict any of the outcomes on the subtests of musical aptitude within identical twin pairs when analyses controlled for total practice (rhythm discrimination: Î² = -0.03, p = .56; melody discrimination: Î² = -0.02, p = .71; pitch discrimination: Î² = 0.08, p = .13).";1;"In addition, age of onset was not significantly associated with any of the outcomes on the subtests of musical aptitude within identical twin pairs when analyses controlled for total practice (rhythm discrimination: Î² = -0.03, p = .56; melody discrimination: Î² = -0.02, p = .71; pitch discrimination: Î² = 0.08, p = .13)."
"Crucially, there was no significant interaction between the neutral and proportional-decrease conditions, F(1, 1566) = 0.80, p = .371, Î· p 2 = .001.";0;"Crucially, the interaction between the neutral and proportional-decrease conditions was not significant, F(1, 1566) = 0.80, p = .371, Î· p 2 = .001."
"A second analysis to test for the presence of an SSA-H in each of the five groups revealed that only the TS and the LB groups exhibited a significant SSA-H at a higher-than-chance level (TS: Î² = 5.086, 95% CI = [3.584, 6.881], SE = 0.841, p < .001; LB: Î² = 3.287, 95% CI = [0.289, 6.589], SE = 1.614, p = .042), whereas the CC, the DC, and the CB groups did not perform differently from chance level (CC: Î² = 1.230, 95% CI = [-0.479, 3.210], SE = 0.887, p = .165; DC: Î² = 0.287, 95% CI = [-1.840, 2.510], SE = 1.035, p = .782; CB: Î² = 1.465, 95% CI = [-0.989, 4.265], SE = 1.265, p = .247).";1;"A second analysis to test for the presence of an SSA-H in each of the five groups revealed that only the TS and the LB groups exhibited a significant SSA-H at a higher-than-chance level (TS: β = 5.086, 95% CI = [3.584, 6.881], SE = 0.841, p < .001; LB: β = 3.287, 95% CI = [0.289, 6.589], SE = 1.614, p = .042), whereas the CC, the DC, and the CB groups did not show a significant difference from chance level (CC: β = 1.230, 95% CI = [-0.479, 3.210], SE = 0.887, p = .165; DC: β = 0.287, 95% CI = [-1.840, 2.510], SE = 1.035, p = .782; CB: β = 1.465, 95% CI = [-0.989, 4.265], SE = 1.265, p = .247)."
"Although the sensitivity for the not-learned set was statistically comparable to the prelearning baseline, t(44) = 1.95, p = .162, d = 0.29, the learned set revealed significantly higher scores compared with both the not-learned set, t(44) = 2.56, p < .04, d = 0.38, and the prelearning set, t(44) = 4.51, p < .001, d = 0.67 (all comparisons performed with Bonferroni correction; see Fig. 3a).";1;"Although the sensitivity for the not-learned set was statistically comparable to the prelearning baseline, t(44) = 1.95, p = .162, d = 0.29, indicating no significant difference, the learned set revealed significantly higher scores compared with both the not-learned set, t(44) = 2.56, p < .04, d = 0.38, and the prelearning set, t(44) = 4.51, p < .001, d = 0.67 (all comparisons performed with Bonferroni correction; see Fig. 3a)."
"As expected, salivary cortisol levels were comparable across both days at baseline (post hoc test: p = .69) and immediately after the TSST (post hoc test: p = .63) but significantly higher in the stress condition compared with the control condition at 25 min (post hoc test: p = .002), 40 min (post hoc test: p < .001), and 60 min (post hoc test: p < .001) after stress onset.";1;"As expected, salivary cortisol levels showed no significant difference across both days at baseline (post hoc test: p = .69) and immediately after the TSST (post hoc test: p = .63) but were significantly higher in the stress condition compared with the control condition at 25 min (post hoc test: p = .002), 40 min (post hoc test: p < .001), and 60 min (post hoc test: p < .001) after stress onset."
"Depending on the outcome measure, individuals with a higher level of commitment experienced no change or a deterioration in well-being following infidelity (socialization effects at 1 SD above the mean of commitment: relationship satisfaction b = -0.03, p = .260; intimacy b = -0.02, p = .320; admiration b = -0.04, p = .037; conflict b = 0.002, p = .915).";1;"Depending on the outcome measure, individuals with a higher level of commitment experienced no significant change or a deterioration in well-being following infidelity (socialization effects at 1 SD above the mean of commitment: relationship satisfaction b = -0.03, p = .260; intimacy b = -0.02, p = .320; admiration b = -0.04, p = .037; conflict b = 0.002, p = .915)."
"Congruence did not affect measures of RT to either the stimulus (Î² = -0.008, SE = 0.03, p = .78) or the confidence rating (Î² = 0.03, SE = 0.03, p = .33), which makes it unlikely that effects on metacognition were mediated by effects of TMS on details of the action itself (see Fig.";1;"Congruence was not significantly associated with measures of RT to either the stimulus (Î² = -0.008, SE = 0.03, p = .78) or the confidence rating (Î² = 0.03, SE = 0.03, p = .33), which makes it unlikely that effects on metacognition were mediated by effects of TMS on details of the action itself (see Fig."
"Further, disgust related positively to sentiments in favor of lower-cost social exclusion and reputational attacks (indirect aggression), t(165.08) = 4.96, p < .001, b = 0.12, 95% CI = [0.07, 0.17], but anger did not, t(818.95) = 1.49, p = .135, b = 0.04, 95% CI [-0.01, 0.09].";1;"Further, disgust related positively to sentiments in favor of lower-cost social exclusion and reputational attacks (indirect aggression), t(165.08) = 4.96, p < .001, b = 0.12, 95% CI = [0.07, 0.17], but the relationship between anger and sentiments in favor of lower-cost social exclusion and reputational attacks was not statistically significant, t(818.95) = 1.49, p = .135, b = 0.04, 95% CI [-0.01, 0.09]."
"The results indicate that both participants in the fearchemosignal condition (M = 46.42, SD = 9.23) and the rest-body-odor condition (M = 45.22, SD = 10.62) counted a very similar number of bluefish consuming the food morsels (W = 7,538.50, p = .273), indicating that participants in both odor conditions were similarly engaged in the task.";1;"The results indicate that both participants in the fearchemosignal condition (M = 46.42, SD = 9.23) and the rest-body-odor condition (M = 45.22, SD = 10.62) counted a very similar number of bluefish consuming the food morsels (W = 7,538.50, p = .273), suggesting that there was no significant difference in the engagement of participants in the two odor conditions."
"In the inferior temporal gyrus, however, there was a significant interaction of treatment and expectancy violation, F(1, 76) = 5.11, p = .027, Î· p 2 = .06, showing that inferior temporal activity was significantly higher in stressed participants with only minimal prior information about the psychosocial stressor than in the informed stress group, F(1, 36) = 4.74, p = .036, Î· p 2 = .12, whereas there was no influence of prior information in the control condition, F(1, 40) = 0.97, p = .331, Î· p 2 = .02 (Fig. 3b).";1;"In the inferior temporal gyrus, however, there was a significant interaction of treatment and expectancy violation, F(1, 76) = 5.11, p = .027, Î· p 2 = .06, showing that inferior temporal activity was significantly higher in stressed participants with only minimal prior information about the psychosocial stressor than in the informed stress group, F(1, 36) = 4.74, p = .036, Î· p 2 = .12, whereas the effect of prior information did not reach significance in the control condition, F(1, 40) = 0.97, p = .331, Î· p 2 = .02 (Fig. 3b)."
"However, when the target was uncommitted, participants no longer preferred the seeker, p = .849, d = -0.03, rating both targets equally.";1;"However, when the target was uncommitted, participants showed no significant preference for the seeker over the other target, p = .849, d = -0.03, rating both targets equally."
"There was no significant interaction, F(2.74, 76.68) = 0.76, p = .51, Î· p 2 = .026 (Greenhouse-Geisser corrected).";0;"There was no significant interaction, F(2.74, 76.68) = 0.76, p = .51, Î· p 2 = .026 (Greenhouse-Geisser corrected), indicating that the interaction was not statistically significant."
"The interaction between valence and target was not significant, F(1, 66) = 0.24, p = .62, indicating that the size of the optimistic learning bias was similar for the self and friend conditions.";1;"The interaction between valence and target was not significant, F(1, 66) = 0.24, p = .62, indicating that there was no significant difference in the size of the optimistic learning bias between the self and friend conditions."
