"article_id";"doi";"title";"text";"section";"header";"div";"p";"s";"p_comp";"p_value";"machine_statement";"machine_context";"human_statement"
956797618772822;"10.1177/0956797618772822";"The Napoleon Complex: When Shorter Men Take More";"p = .939 ";"results";"Results";6;3;1;"=";0,939;"Self-reported height in centimeters (absolute height) did not predict coin allocation, Wald χ 2 (1) = 0.06, p = .939 (controlling for participant sex, Wald χ 2 (1) = 0.32, p = .570).";"Self-reported height in centimeters (absolute height) did not predict coin allocation, Wald χ 2 (1) = 0.06, p = .939 (controlling for participant sex, Wald χ 2 (1) = 0.32, p = .570). Self-reported height in centimeters (absolute height) did not predict coin allocation, Wald χ 2 (1) = 0.06, p = .939 (controlling for participant sex, Wald χ 2 (1) = 0.32, p = .570). There was also no interaction between participant sex and absolute height on coin allocation in the dictator game, Wald χ 2 (1) = 0.27, p = .602. There was also no interaction between participant sex and absolute height on coin allocation in the dictator game, Wald χ 2 (1) = 0.27, p = .602.";NA
956797618772822;"10.1177/0956797618772822";"The Napoleon Complex: When Shorter Men Take More";"p = .602";"results";"Results";6;3;2;"=";0,602;"There was also no interaction between participant sex and absolute height on coin allocation in the dictator game, Wald χ 2 (1) = 0.27, p = .602.";"Self-reported height in centimeters (absolute height) did not predict coin allocation, Wald χ 2 (1) = 0.06, p = .939 (controlling for participant sex, Wald χ 2 (1) = 0.32, p = .570). There was also no interaction between participant sex and absolute height on coin allocation in the dictator game, Wald χ 2 (1) = 0.27, p = .602.";NA
956797618772822;"10.1177/0956797618772822";"The Napoleon Complex: When Shorter Men Take More";"p = .205 ";"results";"Results";9;3;3;"=";0,205;"Opponent height was then added to the model but had no significant effect on coins kept for self in the dictator game, Wald χ 2 (1) = 1.61, b = -0.016, SE = 0.013, 95% CI = [-0.041, 0.009], p = .205 (QICc = 115.84).";"2). Opponent height was then added to the model but had no significant effect on coins kept for self in the dictator game, Wald χ 2 (1) = 1.61, b = -0.016, SE = 0.013, 95% CI = [-0.041, 0.009], p = .205 (QICc = 115.84). Participant height remained a significant predictor after controlling for opponent height and SES, Wald χ 2 (1) = 5.42, b = 0.027, SE = 0.012, 95% CI = [0.004, 0.050], p = .020.";NA
956797618772822;"10.1177/0956797618772822";"The Napoleon Complex: When Shorter Men Take More";"p = .436";"results";"Results";9;3;5;"=";0,436;"SES was not significantly related to behavior in the dictator game, Wald χ 2 (1) = 0.61, b = 0.092, SE = 0.118, 95% CI = [-0.139, 0.323], p = .436.";"Participant height remained a significant predictor after controlling for opponent height and SES, Wald χ 2 (1) = 5.42, b = 0.027, SE = 0.012, 95% CI = [0.004, 0.050], p = .020. SES was not significantly related to behavior in the dictator game, Wald χ 2 (1) = 0.61, b = 0.092, SE = 0.118, 95% CI = [-0.139, 0.323], p = .436. Finally, there was no significant interaction between absolute height and opponent height, Wald χ 2 (1) = 0.13, b = 0.001, SE = 0.001, 95% CI = [-0.002, 0.003], p = .718 (QICc = 117.75).";NA
956797618772822;"10.1177/0956797618772822";"The Napoleon Complex: When Shorter Men Take More";"p = .718 ";"results";"Results";9;3;6;"=";0,718;"Finally, there was no significant interaction between absolute height and opponent height, Wald χ 2 (1) = 0.13, b = 0.001, SE = 0.001, 95% CI = [-0.002, 0.003], p = .718 (QICc = 117.75).";"SES was not significantly related to behavior in the dictator game, Wald χ 2 (1) = 0.61, b = 0.092, SE = 0.118, 95% CI = [-0.139, 0.323], p = .436. Finally, there was no significant interaction between absolute height and opponent height, Wald χ 2 (1) = 0.13, b = 0.001, SE = 0.001, 95% CI = [-0.002, 0.003], p = .718 (QICc = 117.75). Thus, shorter participants (regardless of their opponent's height) kept more coins for themselves in the dictator game.";NA
956797618772822;"10.1177/0956797618772822";"The Napoleon Complex: When Shorter Men Take More";"p = .060 ";"results";"Results";9;6;1;"=";0,06;"Participant height (added as a fixed effect to the interceptonly model) had a marginally significant effect on coins kept for self in the ultimatum game, Wald χ 2 (1) = 3.53, b = 0.005, SE = 0.003, 95% CI = [< 0.001, 0.011], p = .060 (QICc = 22.93), suggesting a trend in which shorter participants kept more coins for themselves.";"Participant height (added as a fixed effect to the interceptonly model) had a marginally significant effect on coins kept for self in the ultimatum game, Wald χ 2 (1) = 3.53, b = 0.005, SE = 0.003, 95% CI = [< 0.001, 0.011], p = .060 (QICc = 22.93), suggesting a trend in which shorter participants kept more coins for themselves. Opponent height was subsequently added as a fixed effect, which was not significantly related to number of coins kept for self in the ultimatum game, Wald χ 2 (1) = 1.54, b = 0.004, SE = 0.003, 95% CI = [-0.002, 0.011], p = .215 (QICc = 24.62).";NA
956797618772822;"10.1177/0956797618772822";"The Napoleon Complex: When Shorter Men Take More";"p = .215 ";"results";"Results";9;6;2;"=";0,215;"Opponent height was subsequently added as a fixed effect, which was not significantly related to number of coins kept for self in the ultimatum game, Wald χ 2 (1) = 1.54, b = 0.004, SE = 0.003, 95% CI = [-0.002, 0.011], p = .215 (QICc = 24.62).";"Participant height (added as a fixed effect to the interceptonly model) had a marginally significant effect on coins kept for self in the ultimatum game, Wald χ 2 (1) = 3.53, b = 0.005, SE = 0.003, 95% CI = [< 0.001, 0.011], p = .060 (QICc = 22.93), suggesting a trend in which shorter participants kept more coins for themselves. Opponent height was subsequently added as a fixed effect, which was not significantly related to number of coins kept for self in the ultimatum game, Wald χ 2 (1) = 1.54, b = 0.004, SE = 0.003, 95% CI = [-0.002, 0.011], p = .215 (QICc = 24.62). The effect of participant height was significant when we controlled for opponent height and SES, Wald χ 2 (1) = 8.20, b = 0.008, SE = 0.003, 95% CI = [0.003, 0.014], p = .004.";NA
956797618772822;"10.1177/0956797618772822";"The Napoleon Complex: When Shorter Men Take More";"p = .121 ";"results";"Results";9;6;4;"=";0,121;"SES was not significantly related to coins kept for self in the ultimatum game, Wald χ 2 (1) = 2.41, b = -0.062, SE = 0.040, 95% CI = [-0.141, 0.016], p = .121 (QICc = 26.23).";"The effect of participant height was significant when we controlled for opponent height and SES, Wald χ 2 (1) = 8.20, b = 0.008, SE = 0.003, 95% CI = [0.003, 0.014], p = .004. SES was not significantly related to coins kept for self in the ultimatum game, Wald χ 2 (1) = 2.41, b = -0.062, SE = 0.040, 95% CI = [-0.141, 0.016], p = .121 (QICc = 26.23).";NA
956797618772822;"10.1177/0956797618772822";"The Napoleon Complex: When Shorter Men Take More";"p = .051 ";"results";"Results";9;7;2;"=";0,051;"There was a marginally significant interaction between participant height and opponent height on coins kept for self in the ultimatum game, Wald χ 2 (1) = 3.83, b = -0.001, SE = 0.001, 95% CI = [-0.002, < 0.001], p = .051 (QICc = 26.16).";"We tested the interaction between participant height and opponent height by adding the interaction term as a fixed effect to the model with participant height and opponent height as predictors (mean centered). There was a marginally significant interaction between participant height and opponent height on coins kept for self in the ultimatum game, Wald χ 2 (1) = 3.83, b = -0.001, SE = 0.001, 95% CI = [-0.002, < 0.001], p = .051 (QICc = 26.16). Simple effects showed that when participants' opponents were shorter than average (1 SD below the mean), shorter participants kept more coins for themselves in the ultimatum game, b = 0.014, SE = 0.005, 95% CI = [0.004, 0.023], p = .005.";NA
956797618772822;"10.1177/0956797618772822";"The Napoleon Complex: When Shorter Men Take More";"p = .846";"results";"Results";9;7;4;"=";0,846;"However, shorter participants did not keep more coins for themselves in the ultimatum game when their opponent was taller than average (1 SD above the mean), b = 0.001, SE = 0.004, 95% CI = [-0.007, 0.009], p = .846.";"Simple effects showed that when participants' opponents were shorter than average (1 SD below the mean), shorter participants kept more coins for themselves in the ultimatum game, b = 0.014, SE = 0.005, 95% CI = [0.004, 0.023], p = .005. However, shorter participants did not keep more coins for themselves in the ultimatum game when their opponent was taller than average (1 SD above the mean), b = 0.001, SE = 0.004, 95% CI = [-0.007, 0.009], p = .846.";NA
956797618772822;"10.1177/0956797618772822";"The Napoleon Complex: When Shorter Men Take More";"p = .519 ";"results";"Results";9;8;1;"=";0,519;"Finally, we added relative height as a fixed factor to the intercept-only model, which showed that there was no significant relationship between relative height and coins kept for self in the ultimatum game, Wald χ 2 (1) = 0.42, b = 0.001, SE = 0.002, 95% CI = [-0.002, 0.005], p = .519 (QICc = 23.58).";"Finally, we added relative height as a fixed factor to the intercept-only model, which showed that there was no significant relationship between relative height and coins kept for self in the ultimatum game, Wald χ 2 (1) = 0.42, b = 0.001, SE = 0.002, 95% CI = [-0.002, 0.005], p = .519 (QICc = 23.58). Like in the dictator game, shorter males kept more coins for themselves in an ultimatum game.";NA
956797618772822;"10.1177/0956797618772822";"The Napoleon Complex: When Shorter Men Take More";"p = .417 ";"results";"Results";9;11;2;"=";0,417;"Participant height had no significant effect on selfish behavior in the dictator game compared with the ultimatum game, Wald χ 2 (1) = 0.66, b = -0.100, SE = 0.123, 95% CI = [-0.341, 0.141], p = .417 (QICc = 41.22).";"Participant height was added as a fixed effect to the intercept-only model. Participant height had no significant effect on selfish behavior in the dictator game compared with the ultimatum game, Wald χ 2 (1) = 0.66, b = -0.100, SE = 0.123, 95% CI = [-0.341, 0.141], p = .417 (QICc = 41.22). Subsequently, opponent height was added to the participant-height model.";NA
956797618772822;"10.1177/0956797618772822";"The Napoleon Complex: When Shorter Men Take More";"p = .079";"results";"Results";9;11;6;"=";0,079;"SES was marginally significantly related to coins kept for self in the dictator game versus the ultimatum game, Wald χ 2 (1) = 3.09, b = -0.182, SE = 0.103, 95% CI = [-0.384, 0.021], p = .079, suggesting a trend in which participants with lower SES keep more coins to themselves in the dictator game versus the ultimatum game.";"The effect of opponent height remained significant after we controlled for SES (and participant height), Wald χ 2 (1) = 7.19, b = 0.316, SE = 0.118, 95% CI = [0.085, 0.547], p = .007 (QICc = 40.35). SES was marginally significantly related to coins kept for self in the dictator game versus the ultimatum game, Wald χ 2 (1) = 3.09, b = -0.182, SE = 0.103, 95% CI = [-0.384, 0.021], p = .079, suggesting a trend in which participants with lower SES keep more coins to themselves in the dictator game versus the ultimatum game. Finally, there was no significant interaction between participant height and opponent height, Wald χ 2 (1) = 1.75, b = -0.193, SE = 0.146, 95% CI = [-0.479, 0.093], p = .186 (QICc = 40.50).";NA
956797618772822;"10.1177/0956797618772822";"The Napoleon Complex: When Shorter Men Take More";"p = .186 ";"results";"Results";9;11;7;"=";0,186;"Finally, there was no significant interaction between participant height and opponent height, Wald χ 2 (1) = 1.75, b = -0.193, SE = 0.146, 95% CI = [-0.479, 0.093], p = .186 (QICc = 40.50).";"SES was marginally significantly related to coins kept for self in the dictator game versus the ultimatum game, Wald χ 2 (1) = 3.09, b = -0.182, SE = 0.103, 95% CI = [-0.384, 0.021], p = .079, suggesting a trend in which participants with lower SES keep more coins to themselves in the dictator game versus the ultimatum game. Finally, there was no significant interaction between participant height and opponent height, Wald χ 2 (1) = 1.75, b = -0.193, SE = 0.146, 95% CI = [-0.479, 0.093], p = .186 (QICc = 40.50).";NA
956797618772822;"10.1177/0956797618772822";"The Napoleon Complex: When Shorter Men Take More";"p = .247 ";"results";"Results";12;3;4;"=";0,247;"Opponent height did not significantly affect coins kept for self in the dictator game, Wald χ 2 (1) = 1.34, b = -0.006, SE = 0.005, 95% CI = [-0.015, 0.004], p = .247 (QICc = 325.85).";"Opponent height was then added to the model. Opponent height did not significantly affect coins kept for self in the dictator game, Wald χ 2 (1) = 1.34, b = -0.006, SE = 0.005, 95% CI = [-0.015, 0.004], p = .247 (QICc = 325.85). The effect of participant height remained significant after controlling for ethnicity and opponent height, Wald χ 2 (1) = 4.27, b = 0.010, SE = 0.005, 95% CI = [0.001, 0.019], p = .039 (QICc = 327.06), and ethnicity was not significantly related to behavior in the dictator game, Wald χ 2 (1) = 0.37, b = -0.064, SE = 0.106, 95% CI = [-0.272, 0.143], p = .542.";NA
956797618772822;"10.1177/0956797618772822";"The Napoleon Complex: When Shorter Men Take More";"p = .542";"results";"Results";12;3;5;"=";0,542;"The effect of participant height remained significant after controlling for ethnicity and opponent height, Wald χ 2 (1) = 4.27, b = 0.010, SE = 0.005, 95% CI = [0.001, 0.019], p = .039 (QICc = 327.06), and ethnicity was not significantly related to behavior in the dictator game, Wald χ 2 (1) = 0.37, b = -0.064, SE = 0.106, 95% CI = [-0.272, 0.143], p = .542.";"Opponent height did not significantly affect coins kept for self in the dictator game, Wald χ 2 (1) = 1.34, b = -0.006, SE = 0.005, 95% CI = [-0.015, 0.004], p = .247 (QICc = 325.85). The effect of participant height remained significant after controlling for ethnicity and opponent height, Wald χ 2 (1) = 4.27, b = 0.010, SE = 0.005, 95% CI = [0.001, 0.019], p = .039 (QICc = 327.06), and ethnicity was not significantly related to behavior in the dictator game, Wald χ 2 (1) = 0.37, b = -0.064, SE = 0.106, 95% CI = [-0.272, 0.143], p = .542. Subsequently, we added the interaction term to the model with participant height and opponent height as fixed effects, which was not significant, Wald χ 2 (1) = 1.00, b = -0.001, SE = 0.001, 95% CI = [-0.002, 0.001], p = .317 (QICc = 326.51).";NA
956797618772822;"10.1177/0956797618772822";"The Napoleon Complex: When Shorter Men Take More";"p = .317 ";"results";"Results";12;3;6;"=";0,317;"Subsequently, we added the interaction term to the model with participant height and opponent height as fixed effects, which was not significant, Wald χ 2 (1) = 1.00, b = -0.001, SE = 0.001, 95% CI = [-0.002, 0.001], p = .317 (QICc = 326.51).";"The effect of participant height remained significant after controlling for ethnicity and opponent height, Wald χ 2 (1) = 4.27, b = 0.010, SE = 0.005, 95% CI = [0.001, 0.019], p = .039 (QICc = 327.06), and ethnicity was not significantly related to behavior in the dictator game, Wald χ 2 (1) = 0.37, b = -0.064, SE = 0.106, 95% CI = [-0.272, 0.143], p = .542. Subsequently, we added the interaction term to the model with participant height and opponent height as fixed effects, which was not significant, Wald χ 2 (1) = 1.00, b = -0.001, SE = 0.001, 95% CI = [-0.002, 0.001], p = .317 (QICc = 326.51).";NA
956797618772822;"10.1177/0956797618772822";"The Napoleon Complex: When Shorter Men Take More";"p = .781 ";"results";"Results";12;4;4;"=";0,781;"Finally, the effect of feeling small was tested by adding the variable to the intercept-only model-feeling small was not significantly related to behavior in the dictator game, Wald χ 2 (1) = 0.08, b = -0.006, SE = 0.022, 95% CI = [-0.050, 0.037], p = .781 (QICc = 333.06).";"The relative-height model showed the best fit (lowest QICc), but its effect was likely driven more by participants' own height than the opponent's height, considering their separate effects. Finally, the effect of feeling small was tested by adding the variable to the intercept-only model-feeling small was not significantly related to behavior in the dictator game, Wald χ 2 (1) = 0.08, b = -0.006, SE = 0.022, 95% CI = [-0.050, 0.037], p = .781 (QICc = 333.06).";NA
956797618772822;"10.1177/0956797618772822";"The Napoleon Complex: When Shorter Men Take More";"p = .749 ";"results";"Hot-sauce allocation task.";13;1;3;"=";0,749;"First, participant height (added as a fixed factor to the intercept-only model) had no effect on aggressive behavior, Wald χ 2 (1) = 0.10, b = -0.024, SE = 0.074, 95% CI = [-0.169, 0.122], p = .749 (QICc = 166.91).";"The QICc values in this section can be compared with those obtained from the intercept-only model (QICc = 165.00) and with each other. First, participant height (added as a fixed factor to the intercept-only model) had no effect on aggressive behavior, Wald χ 2 (1) = 0.10, b = -0.024, SE = 0.074, 95% CI = [-0.169, 0.122], p = .749 (QICc = 166.91). Opponent height was then added as a fixed factor, which also did not have a significant effect on aggressive behavior, Wald χ 2 (1) = 2.36, b = -0.117, SE = 0.076, 95% CI = [-0.266, 0.032], p = .125 (QICc = 166.77).";NA
956797618772822;"10.1177/0956797618772822";"The Napoleon Complex: When Shorter Men Take More";"p = .125 ";"results";"Hot-sauce allocation task.";13;1;4;"=";0,125;"Opponent height was then added as a fixed factor, which also did not have a significant effect on aggressive behavior, Wald χ 2 (1) = 2.36, b = -0.117, SE = 0.076, 95% CI = [-0.266, 0.032], p = .125 (QICc = 166.77).";"First, participant height (added as a fixed factor to the intercept-only model) had no effect on aggressive behavior, Wald χ 2 (1) = 0.10, b = -0.024, SE = 0.074, 95% CI = [-0.169, 0.122], p = .749 (QICc = 166.91). Opponent height was then added as a fixed factor, which also did not have a significant effect on aggressive behavior, Wald χ 2 (1) = 2.36, b = -0.117, SE = 0.076, 95% CI = [-0.266, 0.032], p = .125 (QICc = 166.77). The interaction term was added, which showed there was no interaction effect between participant and opponent height on aggressive behavior in the hot-sauce task, Wald χ 2 (1) = 0.58, b = 0.070, SE = 0.092, 95% CI =";NA
956797618772822;"10.1177/0956797618772822";"The Napoleon Complex: When Shorter Men Take More";"p = .446 ";"results";"Hot-sauce allocation task.";13;2;1;"=";0,446;"0 5 10 15 160 180 200 Participant's Height (cm) Number of Coins Kept in Dictator Game [-0.110, 0.249], p = .446 (QICc = 168.10).";"0 5 10 15 160 180 200 Participant's Height (cm) Number of Coins Kept in Dictator Game [-0.110, 0.249], p = .446 (QICc = 168.10). Additionally, feeling small (added as a fixed factor to the interceptonly model) was not significantly related to behavior in the hot-sauce task, Wald χ 2 (1) = 0.63, b = -0.020, SE = 0.078, 95% CI = [-0.172, 0.133], p = .802 (QICc = 166.94).";NA
956797618772822;"10.1177/0956797618772822";"The Napoleon Complex: When Shorter Men Take More";"p = .802 ";"results";"Hot-sauce allocation task.";13;2;2;"=";0,802;"Additionally, feeling small (added as a fixed factor to the interceptonly model) was not significantly related to behavior in the hot-sauce task, Wald χ 2 (1) = 0.63, b = -0.020, SE = 0.078, 95% CI = [-0.172, 0.133], p = .802 (QICc = 166.94).";"0 5 10 15 160 180 200 Participant's Height (cm) Number of Coins Kept in Dictator Game [-0.110, 0.249], p = .446 (QICc = 168.10). Additionally, feeling small (added as a fixed factor to the interceptonly model) was not significantly related to behavior in the hot-sauce task, Wald χ 2 (1) = 0.63, b = -0.020, SE = 0.078, 95% CI = [-0.172, 0.133], p = .802 (QICc = 166.94). Finally, there was no effect of relative height (added as a fixed factor to the intercept-only model), Wald χ 2 (1) = 1.45, b = 0.074, SE = 0.061, 95% CI = [-0.046, 0.193], p = .228 (QICc = 166.12).";NA
956797618772822;"10.1177/0956797618772822";"The Napoleon Complex: When Shorter Men Take More";"p = .228 ";"results";"Hot-sauce allocation task.";13;2;3;"=";0,228;"Finally, there was no effect of relative height (added as a fixed factor to the intercept-only model), Wald χ 2 (1) = 1.45, b = 0.074, SE = 0.061, 95% CI = [-0.046, 0.193], p = .228 (QICc = 166.12).";"Additionally, feeling small (added as a fixed factor to the interceptonly model) was not significantly related to behavior in the hot-sauce task, Wald χ 2 (1) = 0.63, b = -0.020, SE = 0.078, 95% CI = [-0.172, 0.133], p = .802 (QICc = 166.94). Finally, there was no effect of relative height (added as a fixed factor to the intercept-only model), Wald χ 2 (1) = 1.45, b = 0.074, SE = 0.061, 95% CI = [-0.046, 0.193], p = .228 (QICc = 166.12).";NA
956797618772822;"10.1177/0956797618772822";"The Napoleon Complex: When Shorter Men Take More";"p = .094 ";"results";"Studies 1 and 2: Combined Data Analysis";14;2;2;"=";0,094;"Subsequently, opponent height was added to the model, which was marginally significantly related to percentage of coins kept for self in the dictator games, Wald χ 2 (1) = 2.81, b = 0.116, SE = 0.069, 95% CI = [-0.020, 0.251], p = .094 (QICc = 202.15).";"First, we added participant height as a fixed factor, which showed that shorter participants kept more coins for themselves, Wald χ 2 (1) = 7.83, b = -0.174, SE = 0.062, 95% CI = [-0.295, -0.052], p = .005 (QICc = 202.82). Subsequently, opponent height was added to the model, which was marginally significantly related to percentage of coins kept for self in the dictator games, Wald χ 2 (1) = 2.81, b = 0.116, SE = 0.069, 95% CI = [-0.020, 0.251], p = .094 (QICc = 202.15). This result indicates a trend in which participants kept a higher percentage of coins for themselves when faced with a taller opponent.";NA
956797618772822;"10.1177/0956797618772822";"The Napoleon Complex: When Shorter Men Take More";"p = .540 ";"results";"Studies 1 and 2: Combined Data Analysis";14;2;5;"=";0,54;"There was no significant interaction between participant height and opponent height, Wald χ 2 (1) = 0.38, b = 0.042, SE = 0.068, 95% CI = [-0.091, 0.174], p = .540 (QICc = 203.85).";"Participant height remained a significant predictor after we controlled for opponent height, Wald χ 2 (1) = 9.69, b = -0.193, SE = 0.062, 95% CI = [-0.315, -0.072], p = .002. There was no significant interaction between participant height and opponent height, Wald χ 2 (1) = 0.38, b = 0.042, SE = 0.068, 95% CI = [-0.091, 0.174], p = .540 (QICc = 203.85). Finally, we added relative height as a fixed effect to the intercept-only model, which showed that relatively shorter participants kept a higher percentage of coins to themselves in the dictator games, Wald χ 2 (1) = 9.33, b = -0.202, SE = 0.066, 95% CI = [-0.332, -0.072], p = .002 (QICc = 200.67).";NA
956797619842261;"10.1177/0956797619842261";"Aversive Imagery Causes De Novo Fear Conditioning";"p = .36";"results";"Results";4;2;3;"=";0,36;"The Block × Cue Type interaction was not significant (p = .36), indicating that images remained aversive throughout the course of acquisition.";"A Block (after first acquisition vs. after second acquisition) × Cue Type (aversive vs. neutral vs. none) ANOVA on the pleasantness of mental images revealed a main effect of cue type (p < .001; see Fig. 2; for further statistics, see Table S1 in the Supplemental Material), indicating that participants rated the image they had after being shown the aversive cue to be significantly more aversive than the image they had in response to the neutral cue. The Block × Cue Type interaction was not significant (p = .36), indicating that images remained aversive throughout the course of acquisition.";NA
